summary[][0],summary[][1],summary[][2],summary[][3],summary[][4],summary[][5],summary[][6]
0,1,2,3,4,5,6
Info,Cells,Compound,Online_1_base,sweep,conc,block
F230223_003_1hergPharm,2,cisapride,Rundown: No,1_2_7,1e-10,0
,,,,1_2_21,1e-08,0.25194
,,,,1_2_34,1e-07,0.32699
,,,,1_2_47,3e-07,0.64045
,,,,1_2_60,1e-06,1.0997
F230223_003_1hergPharm,4,cisapride,Rundown: No,1_2_8,1e-10,0
,,,,1_2_21,1e-08,0.22229
,,,,1_2_34,1e-07,0.36819
,,,,1_2_48,3e-07,0.65201
,,,,1_2_60,1e-06,0.93193
F230223_003_1hergPharm,6,cisapride,Rundown: No,1_2_8,1e-10,0
,,,,1_2_22,1e-08,0.18728
,,,,1_2_35,1e-07,0.44997
,,,,1_2_49,3e-07,0.81818
,,,,1_2_60,1e-06,1.1706
F230223_003_1hergPharm,8,cisapride,Rundown: No,1_2_9,1e-10,0
,,,,1_2_22,1e-08,0.21743
,,,,1_2_36,1e-07,0.39514
,,,,1_2_49,3e-07,0.62678
,,,,1_2_60,1e-06,1.0926
