summary[][0],summary[][1],summary[][2],summary[][3],summary[][4],summary[][5],summary[][6]
0,1,2,3,4,5,6
Info,Cells,Compound,Online_1_base,sweep,conc,block
,,,,,,
F230223_002_1hergPharm,1,Dofetilide,Rundown: No,1_2_6,1e-10,0
,,,,1_2_20,1e-08,0.12404
,,,,1_2_33,1e-07,0.34613
,,,,1_2_47,3e-07,0.75777
,,,,1_2_60,1e-06,0.94628
F230223_002_1hergPharm,2,Dofetilide,Rundown: No,1_2_7,1e-10,0
,,,,1_2_20,1e-08,0.071068
,,,,1_2_34,1e-07,0.30761
,,,,1_2_47,3e-07,0.74946
,,,,1_2_60,1e-06,0.89886
F230223_002_1hergPharm,3,Dofetilide,Rundown: No,1_2_7,1e-10,0
,,,,1_2_21,1e-08,0.070989
,,,,1_2_34,1e-07,0.27272
,,,,1_2_47,3e-07,0.62332
,,,,1_2_60,1e-06,0.85193
F230223_002_1hergPharm,4,Dofetilide,Rundown: No,1_2_8,1e-10,0
,,,,1_2_21,1e-08,0.19229
,,,,1_2_34,1e-07,0.45169
,,,,1_2_48,3e-07,0.78249
,,,,1_2_60,1e-06,0.91588
F230223_002_1hergPharm,6,Dofetilide,Rundown: No,1_2_8,1e-10,0
,,,,1_2_22,1e-08,0.16426
,,,,1_2_35,1e-07,0.3468
,,,,1_2_49,3e-07,0.75617
,,,,1_2_60,1e-06,0.90615
