summary[][0],summary[][1],summary[][2],summary[][3],summary[][4],summary[][5],summary[][6]
0,1,2,3,4,5,6
Info,Cells,Compound,Online_1_base,sweep,conc,block
F230201_001_1hergPharm,2,E-4031,Rundown: No,1_2_8,1e-10,0
,,,,1_2_20,1e-08,0.19093
,,,,1_2_31,3e-08,0.38677
,,,,1_2_43,1e-07,0.72888
,,,,1_2_52,1e-06,0.96586
F230201_001_1hergPharm,7,E-4031,Rundown: No,1_2_9,1e-10,0
,,,,1_2_20,1e-08,0.13953
,,,,1_2_32,3e-08,0.43341
,,,,1_2_43,1e-07,0.75456
,,,,1_2_52,1e-06,0.90985
F230201_001_1hergPharm,8,E-4031,Rundown: No,1_2_9,1e-10,0
,,,,1_2_21,1e-08,0.19217
,,,,1_2_32,3e-08,0.48021
,,,,1_2_44,1e-07,0.83776
,,,,1_2_52,1e-06,1.0003
