summary[][0],summary[][1],summary[][2],summary[][3],summary[][4],summary[][5],summary[][6]
0,1,2,3,4,5,6
Info,Cells,Compound,Online_1_base,sweep,conc,block
F230223_005_1hergPharm,3,flecainide,Rundown: No,1_2_11,1e-09,0
,,,,1_2_26,1e-07,0.25234
,,,,1_2_40,3e-07,0.29006
,,,,1_2_54,1e-06,0.31771
,,,,1_2_67,1e-05,0.78725
F230223_005_1hergPharm,6,flecainide,Rundown: No,1_2_12,1e-09,0
,,,,1_2_26,1e-07,0.1075
,,,,1_2_40,3e-07,0.20496
,,,,1_2_55,1e-06,0.46906
,,,,1_2_67,1e-05,0.8588
F230223_005_1hergPharm,8,flecainide,Rundown: No,1_2_13,1e-09,0
,,,,1_2_27,1e-07,0.052683
,,,,1_2_41,3e-07,0.12526
,,,,1_2_55,1e-06,0.319
,,,,1_2_67,1e-05,0.79709
