summary[][0],summary[][1],summary[][2],summary[][3],summary[][4],summary[][5],summary[][6]
0,1,2,3,4,5,6
Info,Cells,Compound,Online_1_base,sweep,conc,block
,,,,,,
F230223_004_1hergPharm,1,Haloperidol,Rundown: No,1_2_13,1e-10,0
,,,,1_2_34,1e-08,0.13357
,,,,1_2_56,1e-07,0.44406
,,,,1_2_77,3e-07,0.75483
,,,,1_2_98,1e-06,1.0362
F230223_004_1hergPharm,2,Haloperidol,Rundown: No,1_2_14,1e-10,0
,,,,1_2_35,1e-08,0.28267
,,,,1_2_57,1e-07,0.63281
,,,,1_2_78,3e-07,0.85149
,,,,1_2_98,1e-06,1.0435
F230223_004_1hergPharm,4,Haloperidol,Rundown: No,1_2_15,1e-10,0
,,,,1_2_37,1e-08,0.15053
,,,,1_2_58,1e-07,0.4913
,,,,1_2_79,3e-07,0.75231
,,,,1_2_98,1e-06,0.99864
F230223_004_1hergPharm,5,Haloperidol,Rundown: No,1_2_16,1e-10,0
,,,,1_2_37,1e-08,0.35342
,,,,1_2_59,1e-07,0.49406
,,,,1_2_80,3e-07,0.67119
,,,,1_2_98,1e-06,0.88698
F230223_004_1hergPharm,6,Haloperidol,Rundown: No,1_2_16,1e-10,0
,,,,1_2_38,1e-08,0.1683
,,,,1_2_59,1e-07,0.58194
,,,,1_2_81,3e-07,1.1152
,,,,1_2_98,1e-06,1.1372
F230223_004_1hergPharm,7,Haloperidol,Rundown: No,1_2_17,1e-10,0
,,,,1_2_38,1e-08,0.13218
,,,,1_2_60,1e-07,0.36822
,,,,1_2_81,3e-07,0.70497
,,,,1_2_98,1e-06,0.94908
