summary[][0],summary[][1],summary[][2],summary[][3],summary[][4],summary[][5],summary[][6]
0,1,2,3,4,5,6
Info,Cells,Compound,Online_1_base,sweep,conc,block
F230223_006_1hergPharm,3,Sotalol,Rundown: No,1_2_11,3e-08,0
,,,,1_2_27,3e-06,0.18634
,,,,1_2_43,1e-05,0.28587
,,,,1_2_58,0.0001,0.40706
,,,,1_2_73,0.0003,0.60218
F230223_006_1hergPharm,5,Sotalol,Rundown: No,1_2_12,3e-08,0
,,,,1_2_28,3e-06,0.10513
,,,,1_2_43,1e-05,0.1795
,,,,1_2_59,0.0001,0.39914
,,,,1_2_73,0.0003,0.69016
F230224_001_1hergPharm,5,Sotalol,Rundown: No,1_2_15,3e-08,0
,,,,1_2_35,3e-06,0.14323
,,,,1_2_53,1e-05,0.2439
F230224_001_1hergPharm,6,Sotalol,Rundown: No,1_2_16,3e-08,0
,,,,1_2_35,3e-06,0.13663
,,,,1_2_53,1e-05,0.25765
F230224_002_1hergPharm,3,Sotalol,Rundown: No,1_2_14,3e-08,0
,,,,1_2_36,3e-06,0.037488
,,,,1_2_57,1e-05,0.12225
,,,,1_2_78,0.0001,0.44428
,,,,1_2_97,0.0003,0.64244
F230224_002_1hergPharm,4,Sotalol,Rundown: No,1_2_15,3e-08,0
,,,,1_2_36,3e-06,0.13443
,,,,1_2_58,1e-05,0.29144
,,,,1_2_79,0.0001,0.41348
,,,,1_2_97,0.0003,0.61397
F230224_002_1hergPharm,5,Sotalol,Rundown: No,1_2_16,3e-08,0
,,,,1_2_37,3e-06,0.1536
,,,,1_2_58,1e-05,0.37672
,,,,1_2_80,0.0001,0.53958
,,,,1_2_97,0.0003,0.73548
