summary[][0],summary[][1],summary[][2],summary[][3],summary[][4],summary[][5],summary[][6]
0,1,2,3,4,5,6
Info,Cells,Compound,Online_1_base,sweep,conc,block
F230215_001_1hergPharm,3,Vehicle,Rundown: No,1_2_7,1e-08,0
,,,,1_2_18,1e-06,0.23456
,,,,1_2_29,3.33e-06,0.26403
,,,,1_2_40,1e-05,0.30364
,,,,1_2_50,3e-05,0.47533
F230215_001_1hergPharm,4,Vehicle,Rundown: No,1_2_7,1e-08,0
,,,,1_2_19,1e-06,0.27822
,,,,1_2_30,3.33e-06,0.29165
,,,,1_2_41,1e-05,0.55524
,,,,1_2_50,3e-05,0.56502
F230215_001_1hergPharm,5,Vehicle,Rundown: No,1_2_8,1e-08,0
,,,,1_2_19,1e-06,0.16666
,,,,1_2_30,3.33e-06,0.18178
,,,,1_2_41,1e-05,0.45177
,,,,1_2_50,3e-05,0.52619
F230215_001_1hergPharm,7,Vehicle,Rundown: No,1_2_8,1e-08,0
,,,,1_2_19,1e-06,0.23752
,,,,1_2_30,3.33e-06,0.45162
,,,,1_2_41,1e-05,0.604
,,,,1_2_50,3e-05,0.6662
,,,,,,
F230206_001_1hergPharm,1,Vehicle,Rundown: No,1_2_6,1e-08,0
,,,,1_2_17,1e-06,0.095896
,,,,1_2_28,3.33e-06,0.1977
,,,,1_2_38,1e-05,0.18041
,,,,1_2_49,3e-05,0.22329
F230206_001_1hergPharm,2,Vehicle,Rundown: No,1_2_7,1e-08,0
,,,,1_2_17,1e-06,0.23337
,,,,1_2_28,3.33e-06,0.38759
,,,,1_2_39,1e-05,0.51281
,,,,1_2_49,3e-05,0.54595
F230206_001_1hergPharm,3,Vehicle,Rundown: No,1_2_7,1e-08,0
,,,,1_2_18,1e-06,0.19065
,,,,1_2_28,3.33e-06,0.20132
,,,,1_2_39,1e-05,0.25597
,,,,1_2_49,3e-05,0.37946
F230206_001_1hergPharm,4,Vehicle,Rundown: No,1_2_7,1e-08,0
,,,,1_2_18,1e-06,0.12083
,,,,1_2_29,3.33e-06,0.25659
,,,,1_2_39,1e-05,0.39003
,,,,1_2_49,3e-05,0.54247
F230206_001_1hergPharm,5,Vehicle,Rundown: No,1_2_8,1e-08,0
,,,,1_2_18,1e-06,0.1837
,,,,1_2_29,3.33e-06,0.31228
,,,,1_2_40,1e-05,0.52982
,,,,1_2_49,3e-05,0.66735
F230214_002_1hergPharm,4,Vehicle,Rundown: No,1_2_7,1e-08,0
,,,,1_2_18,1e-06,0.16395
,,,,1_2_29,3.33e-06,0.30717
,,,,1_2_40,1e-05,0.38415
,,,,1_2_50,3e-05,0.44827
F230214_002_1hergPharm,5,Vehicle,Rundown: No,1_2_7,1e-08,0
,,,,1_2_18,1e-06,0.24474
,,,,1_2_29,3.33e-06,0.29609
,,,,1_2_40,1e-05,0.27786
,,,,1_2_50,3e-05,0.36965
F230214_002_1hergPharm,7,Vehicle,Rundown: No,1_2_8,1e-08,0
,,,,1_2_19,1e-06,0.2086
,,,,1_2_30,3.33e-06,0.40437
,,,,1_2_41,1e-05,0.5044
,,,,1_2_50,3e-05,0.55414
F230214_002_1hergPharm,8,Vehicle,Rundown: No,1_2_8,1e-08,0
,,,,1_2_20,1e-06,0.19985
,,,,1_2_31,3.33e-06,0.27939
,,,,1_2_42,1e-05,0.45585
,,,,1_2_50,3e-05,0.50291
