summary[][0],summary[][1],summary[][2],summary[][3],summary[][4],summary[][5],summary[][6]
0,1,2,3,4,5,6
Info,Cellzess,Compoundes,Online_1_base,sweep,conc,block
F230203_004_1hergPharm,3,MAP2220,Rundown: No,1_2_8,1e-08,0
,,,,1_2_19,1e-06,0.22593
,,,,1_2_31,3.33e-06,0.53605
,,,,1_2_42,1e-05,0.65112
,,,,1_2_51,3e-05,0.84651
F230203_004_1hergPharm,6,MAP2220,Rundown: No,1_2_9,1e-08,0
,,,,1_2_20,1e-06,0.28061
,,,,1_2_31,3.33e-06,0.44997
,,,,1_2_42,1e-05,0.68866
,,,,1_2_51,3e-05,1.1096
F230203_004_1hergPharm,7,MAP2220,Rundown: No,1_2_9,1e-08,0
,,,,1_2_20,1e-06,0.070341
,,,,1_2_31,3.33e-06,0.18095
,,,,1_2_43,1e-05,0.47793
,,,,1_2_51,3e-05,0.71002
